filename,width,height,class,xmin,ymin,xmax,ymax
real_1055.jpg,800,600,green,419,102,435,142
real_0466.jpg,800,600,red,99,42,151,182
real_0689.jpg,800,600,green,490,89,510,145
real_0989.jpg,800,600,red,373,89,397,154
real_1088.jpg,800,600,green,415,89,438,149
real_1246.jpg,800,600,yellow,382,75,408,149
real_0437.jpg,800,600,red,600,89,622,151
real_1529.jpg,800,600,green,398,87,422,153
real_0242.jpg,800,600,red,413,91,434,151
real_0657.jpg,800,600,red,367,81,396,163
real_0514.jpg,800,600,red,331,49,374,171
real_0924.jpg,800,600,red,374,90,397,155
real_0391.jpg,800,600,yellow,457,99,477,151
real_0351.jpg,800,600,green,401,92,422,154
real_1147.jpg,800,600,yellow,443,87,465,150
real_0460.jpg,800,600,red,353,81,381,158
real_0874.jpg,800,600,red,411,71,444,167
real_1248.jpg,800,600,green,321,43,367,174
real_1613.jpg,800,600,red,182,61,220,166
real_0734.jpg,800,600,green,390,84,414,152
real_1319.jpg,800,600,green,297,69,333,167
real_1610.jpg,800,600,green,401,87,422,151
real_1299.jpg,800,600,green,382,79,409,153
real_1673.jpg,800,600,yellow,506,97,522,144
real_0767.jpg,800,600,red,436,99,452,147
real_0174.jpg,800,600,red,523,92,544,147
real_0177.jpg,800,600,green,415,92,436,150
real_0489.jpg,800,600,red,338,64,375,168
real_0970.jpg,800,600,red,270,67,304,166
real_0784.jpg,800,600,green,390,103,406,145
real_1177.jpg,800,600,green,417,89,436,148
real_0866.jpg,800,600,green,390,102,405,145
real_0334.jpg,800,600,red,435,97,452,146
real_1579.jpg,800,600,green,498,89,517,143
real_0459.jpg,800,600,green,418,105,432,150
real_0139.jpg,800,600,yellow,505,101,523,150
real_0252.jpg,800,600,green,419,89,440,152
real_1144.jpg,800,600,red,386,75,417,165
real_1558.jpg,800,600,yellow,382,73,409,147
real_1594.jpg,800,600,red,436,97,452,145
real_0184.jpg,800,600,red,368,83,394,156
real_1186.jpg,800,600,green,414,105,431,151
real_0053.jpg,800,600,green,383,83,408,158
real_0593.jpg,800,600,red,188,62,225,167
real_1564.jpg,800,600,red,445,97,463,146
real_0663.jpg,800,600,red,457,97,478,153
real_0183.jpg,800,600,green,381,77,409,154
real_1446.jpg,800,600,green,414,93,436,152
real_1484.jpg,800,600,yellow,510,92,528,144
real_1065.jpg,800,600,yellow,405,77,431,146
real_0335.jpg,800,600,red,474,96,492,147
real_1219.jpg,800,600,green,346,59,382,165
real_1227.jpg,800,600,red,414,92,435,151
real_0558.jpg,800,600,green,413,92,436,153
real_0799.jpg,800,600,green,323,67,358,168
real_1222.jpg,800,600,green,389,97,406,145
real_1344.jpg,800,600,green,402,93,423,152
real_1423.jpg,800,600,yellow,452,88,473,147
real_0267.jpg,800,600,red,494,47,536,165
real_0685.jpg,800,600,green,412,89,434,151
real_0494.jpg,800,600,red,379,91,402,150
real_0958.jpg,800,600,red,522,91,540,144
real_1041.jpg,800,600,yellow,460,95,479,147
real_1063.jpg,800,600,yellow,105,42,156,181
real_1209.jpg,800,600,red,329,50,372,173
real_0181.jpg,800,600,green,395,86,418,153
real_1324.jpg,800,600,yellow,381,72,410,147
real_0782.jpg,800,600,red,354,81,380,154
real_0858.jpg,800,600,red,435,97,452,146
real_1200.jpg,800,600,red,214,66,250,166
real_1037.jpg,800,600,green,416,92,435,150
real_1295.jpg,800,600,green,390,98,406,141
real_0622.jpg,800,600,red,357,75,387,161
real_1481.jpg,800,600,red,445,97,466,153
real_1243.jpg,800,600,yellow,388,97,406,147
real_0510.jpg,800,600,red,318,41,365,180
real_0959.jpg,800,600,red,415,92,437,151
real_0554.jpg,800,600,green,409,95,429,149
real_0047.jpg,800,600,red,347,76,376,161
real_1666.jpg,800,600,green,390,102,407,144
real_1211.jpg,800,600,yellow,499,98,516,146
real_0696.jpg,800,600,red,111,47,160,179
real_0432.jpg,800,600,red,335,73,364,158
real_0072.jpg,800,600,red,335,43,376,164
real_0675.jpg,800,600,red,228,62,267,165
real_1371.jpg,800,600,red,368,80,397,160
real_0105.jpg,800,600,red,238,31,296,200
real_0341.jpg,800,600,red,418,93,438,153
real_0760.jpg,800,600,green,416,87,437,147
real_0324.jpg,800,600,red,434,97,452,145
real_0059.jpg,800,600,yellow,503,99,520,148
